Date and Time Downloaded : 04/21/2020 09:25:51 am"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000029438","29438","SAN CELESTINO BARANGAY HEALTH STATION","SAN CELESTINO HEALTH CENTER","","","Barangay Health Station","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","SAN CELESTINO","041014058","4217","","","","","","","CALAMUNAN","ARACELI","I.","Rural Health Midwife","","",""
"DOH000000000029439","29439","SAN GUILLERMO HEALTH CENTER"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","SAN GUILLERMO","041014060","4217"," "," "," "," "," "," ","LIBERA","MARILYN","L.","Rural Health Midwife","","",""
"DOH000000000029440","29440","SAN JOSE BARANGAY HEALTH STATION","SAN JOSE HEALTH CENTER","","","Barangay Health Station","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","SAN JOSE","041014061","4217","","","","","","","MENDOZA","REGINA","M.","Rural Health Midwife","","",""
"DOH000000000029441","29441","SAN SALVADOR HEALTH CENTER"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","SAN SALVADOR","041014063","4217"," "," "," "," "," "," ","BRUCE","ZENAIDA","M.","Rural Health Midwife","","",""
"DOH000000000029442","29442","SAN SEBASTIAN HEALTH CENTER"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","SAN SEBASTIAN (BALAGBAG)","041014008","4217"," "," "," "," "," "," ","ANDEN","ALMA","H.","Rural Health Midwife","","",""
"DOH000000000029443","29443","SANTO NIÑO BARANGAY HEALTH STATION","SANTO NINO HEALTH CENTER","","","Barangay Health Station","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","SANTO NIÑO","041014068","4217","","","","","","","GEUMDO","EUSTACIA","S.","Rural Health Midwife","","",""
"DOH000000000029444","29444","SANTO TORIBIO BARANGAY HEALTH STATION","SANTO TORIBIO HEALTH CENTER","","","Barangay Health Station","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","SANTO TORIBIO","041014069","4217","","","","","","","AGNO","CECILIA","M.","Rural Health Midwife","","",""
"DOH000000000029445","29445","SICO BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","SICO","041014066","4217"," "," "," "," "," "," ","GAMMAD","MILAGROS","M.","Rural Health Midwife","","",""
"DOH000000000029446","29446","TALISAY BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","TALISAY","041014070","4217"," "," "," "," "," "," ","MENDOZA","NENITA","P.","Rural Health Midwife","","",""
"DOH000000000029447","29447","TAMBO HEALTH CENTER"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","TAMBO","041014071","4217"," "," "," "," "," "," ","ROCAFORT","GLORIA","G.","Rural Health Midwife","","",""
"DOH000000000029448","29448","TANGUAY HEALTH CENTER"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","TANGUAY","041014073","4217"," "," "," "," "," "," ","PEÑA","ESTELITA","C.","Rural Health Physician","","",""
"DOH000000000029449","29449","TIBIG HEALTH CENTER"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","TIBIG","041014074","4217"," "," "," "," "," "," ","MEA","TERESITA","D.","Rural Health Midwife","","",""
"DOH000000000029450","29450","TIPACAN BARANGAY HEALTH STATION","TIPACAN HEALTH CENTER","","","Barangay Health Station","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","TIPACAN","041014075","4217","","","","","","","UMALI","PRECILLA","E.","Rural Health Midwife","","",""
"DOH000000000029451","29451","MAINAGA BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","MABINI","041016000","MAINAGA","041016010","4202"," "," "," "," "," "," ","ARGA","EVELYN","M.","Rural Health Midwife","","",""
"DOH000000000029452","29452","SAN JOSE BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","MABINI","041016000","SAN JOSE","041016026","4202"," "," "," "," "," "," ","TUPAZ","TEODELIZA","C.","Rural Health Midwife","","",""
"DOH000000000029453","29453","SAN JUAN BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","MALVAR","041017000","SAN JUAN","041017016","4233"," "," "," "," "," "," ","ONG","MYRA","A.","Public Health Nurse","","",""
"DOH000000000029454","29454","BILUCAO HEALTH CENTER","","","","Barangay Health Station","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","MALVAR","041017000","BILUCAO (SAN ISIDRO WESTERN)","041017002","4233","","","","","","","AMANTE","ROWENA","PLATON","Rural Health Midwife","","",""
"DOH000000000029455","29455","LUTA DEL SUR BARANGAY HEALTH STATION","","","","Barangay Health Station","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","MALVAR","041017000","LUTA DEL SUR","041017006","4233","","","","","","","BRIONES","BELEN","DEL VALLE","Rural Health Midwife","","",""
"DOH000000000029456","29456","POBLACION HEALTH CENTER"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","MALVAR","041017000","POBLACION","041017008","4233"," "," "," "," "," "," ","VILLAPANDO","SABINA","L.","Rural Health Midwife","","",""
"DOH000000000029457","29457","SAN ANDRES BARANGAY HEALTH CENTER","","","","Barangay Health Station","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","MALVAR","041017000","SAN ANDRES","041017012","4233","","","","","","","NOVAL","MYRNA","ARIAS","Rural Health Midwife","","",""
"DOH000000000029458","29458","SAN GREGORIO HEALTH CENTER","","","","Barangay Health Station","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","MALVAR","041017000","SAN GREGORIO","041017004","4233","","","","","","","AMANTE","ROWENA","PLATON","Rural Health Midwife","","",""
"DOH000000000029459","29459","SAN ISIDRO EAST BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","MALVAR","041017000","SAN ISIDRO EAST","041017015","4233"," "," "," "," "," "," ","BRIONES","BELEN","DEL VALLE","Rural Health Midwife","","",""
"DOH000000000029460","29460","SAN PEDRO I BARANGAY HEALTH STATION","","","","Barangay Health Station","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","MALVAR","041017000","SAN PEDRO I (EASTERN)","041017018","4233","","","","","","","ABRAHAM","BABY BHELL","ABALOS","Rural Health Midwife","","",""
"DOH000000000029461","29461","SAN PEDRO II BARANGAY HEALTH STATION","","","","Barangay Health Station","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","MALVAR","041017000","SAN PEDRO II (WESTERN)","041017017","4233","","","","","","","ABRAHAM","BABY BHELL","BABY BHELL","Rural Health Midwife","","",""
"DOH000000000029462","29462","ANTIPOLO BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTA TERESITA","041027000","ANTIPOLO","041027001","4206"," "," "," "," "," "," ","MEDECIELO","LILIBETH","M.","Rural Health Midwife","","",""
"DOH000000000029463","29463","BIHIS BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTA TERESITA","041027000","BIHIS","041027002","4206"," "," "," "," "," "," ","MEDECIELO","LILIBETH","M.","Rural Health Midwife","","",""
"DOH000000000029464","29464","BUROL BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTA TERESITA","041027000","BUROL","041027003","4206"," "," "," "," "," "," ","GONZALES","REMELITA","B.","Rural Health Midwife","","",""
"DOH000000000029465","29465","CALAYAAN BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTA TERESITA","041027000","CALAYAAN","041027004","4206"," "," "," "," "," "," ","GALLARDO","NOVA","S.","Rural Health Midwife","","",""
"DOH000000000029466","29466","CALUMALA BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTA TERESITA","041027000","CALUMALA","041027005","4206"," "," "," "," "," "," ","GALLARDO","NOVA","S.","Rural Health Midwife","","",""
"DOH000000000029467","29467","CUTA EAST BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTA TERESITA","041027000","CUTA EAST","041027006","4206"," "," "," "," "," "," ","GONZALES","REMELITA","A.","Rural Health Midwife","","",""
"DOH000000000029468","29468","IRUKAN BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTA TERESITA","041027000","IRUKAN","041027008","4206"," "," "," "," "," "," ","GALLARDO","NOVA","S.","Rural Health Midwife","","",""
"DOH000000000029469","29469","PACIFICO BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTA TERESITA","041027000","PACIFICO","041027009","4206"," "," "," "," "," "," ","GALLARDO","NOVA","S.","Rural Health Midwife","","",""
"DOH000000000029470","29470","POBLACION II BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTA TERESITA","041027000","POBLACION II","041027017","4206"," "," "," "," "," "," ","MEDECIELO","LILIBETH","M.","Rural Health Midwife","","",""
"DOH000000000029471","29471","POBLACION III BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTA TERESITA","041027000","POBLACION III","041027018","4206"," "," "," "," "," "," "," "," "," "," ","","",""
"DOH000000000029472","29472","SAIMSIM BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTA TERESITA","041027000","SAIMSIM","041027012","4206"," "," "," "," "," "," ","GONZALES","REMELITA","B.","Rural Health Midwife","","",""
"DOH000000000029473","29473","SINIPIAN BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTA TERESITA","041027000","SINIPIAN","041027014","4206"," "," "," "," "," "," ","MEDECIELO","LILIBETH","M.","Rural Health Midwife","","",""
"DOH000000000029474","29474","TAMBO ILAYA BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTA TERESITA","041027000","TAMBO ILAYA","041027016","4206"," "," "," "," "," "," ","GONZALES","REMELITA","B.","Rural Health Midwife","","",""
"DOH000000000029475","29475","SAN LUIS BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTO TOMAS","041028000","SAN LUIS","041028016","4234"," "," "," ","cristyjavier 75@yahoo.com"," "," ","JAVIER","CRISTINA"," ","Rural Health Midwife","","",""
"DOH000000000029476","29476","SAN MIGUEL BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTO TOMAS","041028000","SAN MIGUEL","041028017","4234"," "," "," "," "," "," ","GEVAÑA","RUFINA","M.","Rural Health Midwife","","",""
"DOH000000000029478","29478","SAN ROQUE BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTO TOMAS","041028000","SAN ROQUE","041028021","4234"," "," "," "," "," "," ","MALIGALIG","CARMEN"," ","Rural Health Midwife","","",""
"DOH000000000029479","29479","SANTA CLARA BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SANTO TOMAS","041028000","SANTA CLARA","041028025","4234"," "," "," "," "," "," ","NAVARRO","GLORIA","O.","Rural Health Midwife","","",""
"DOH000000000029480","29480","LAGUILE BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","TAAL","041029000","LAGUILE","041029045","4208"," "," "," "," "," "," ","ALFONSO","LUZAILLA","P.","Rural Health Midwife","","",""
"DOH000000000029481","29481","MAITIM I BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","AMADEO","042102000","MAITIM I","042102007","4119"," "," "," "," "," "," ","VILLANUEVA","CIELITA"," ","Rural Health Midwife","","",""
"DOH000000000029482","29482","MAYMANGGA BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","AMADEO","042102000","MAYMANGGA","042102008","4119"," "," "," "," "," "," ","BAYBAY","PRESCILA"," ","Rural Health Midwife","","",""
"DOH000000000029483","29483","TAMACAN BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","AMADEO","042102000","TAMACAN","042102025","4119"," "," "," "," "," "," ","ANACAN","BONIFACIA"," ","Rural Health Midwife","","",""
"DOH000000000029484","29484","BARANGAY 8 (POB.) BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","ROSARIO STREET"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CARMONA","042104000","BARANGAY  8 (POB.)","042104019","4116"," "," "," "," "," "," ","RAMOS","ROSANA"," ","Rural Health Midwife","","",""
"DOH000000000029485","29485","MABUHAY BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CARMONA","042104000","MABUHAY","042104009","4116"," "," "," "," "," "," ","YAMOG","AMY","D.","Rural Health Midwife","","",""
"DOH000000000029486","29486","MILAGROSA MAIN BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CARMONA","042104000","MILAGROSA","042104011","4116","+63 464303678"," "," "," "," "," ","BAYADNA","SHIERLY","C.","Rural Health Midwife","","",""
"DOH000000000029487","29487","DATU ESMAEL BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CITY OF DASMARI?AS","042106000","DATU ESMAEL (BAGO-A-INGUD)","042106020","4115"," "," "," ","cezcat23@yahoo.com.ph"," "," ","QUIJANO","MA. CECILIA","CATALAN","Public Health Nurse","","",""
"DOH000000000029488","29488","H-2 BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","BLOCK 5 LOT 26"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CITY OF DASMARI?AS","042106000","H-2","042106080","4115","+63 464165638"," "," "," "," "," ","GUBAT","CRISTETA","RUSTIA","Rural Health Midwife","","",""
"DOH000000000029489","29489","LANGKAAN II HUMAYAO HEALTH CENTER"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","CITY HOMES RESORTVILLE, HUMAYAO"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CITY OF DASMARI?AS","042106000","LANGKAAN II","042106053","4115"," "," "," "," "," "," ","ALMIRA","SHERILYN","MANTELE","Rural Health Midwife","","",""
"DOH000000000029490","29490","SAN ANTONIO DE PADUA I BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CITY OF DASMARI?AS","042106000","SAN ANTONIO DE PADUA I","042106026","4115"," "," "," "," "," "," ","ALSOL","LUCYDEL","S.","Rural Health Midwife","","",""
"DOH000000000029491","29491","SAN NICOLAS I BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CITY OF DASMARI?AS","042106000","SAN NICOLAS I","042106037","4115"," "," "," ","odelmundo_22@yahoo.com"," "," ","DEL MUNDO","OLIVIA","GRIARTE","Public Health Nurse","","",""
"DOH000000000029492","29492","SANTA CRISTINA II BARANGAY HEALTH CENTER"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","BLOCK 1 LOT 1"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CITY OF DASMARI?AS","042106000","SANTA CRISTINA II","042106076","4115"," "," "," "," "," "," ","LACATANGO","VIRGILIA","OBRAR","Rural Health Midwife","","",""
"DOH000000000029493","29493","SANTA MARIA BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CITY OF DASMARI?AS","042106000","SANTA MARIA (BARANGAY 20)","042106044","4115"," "," "," "," "," "," ","ALSOL","LUCYDEL","SENCIL","Public Health Nurse","","",""
"DOH000000000029494","29494","SAN JUAN I BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","DEL ROSARIO STREET"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CITY OF GENERAL TRIAS","042108000","SAN JUAN I","042108025","4119"," "," "," ","necie_109@yahoo.com"," "," ","ANICO","NEMENCIA","DIMAALA","Rural Health Midwife","","",""
"DOH000000000029495","29495","AGUS-US BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK 6"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","AGUS-US","042110001","4122"," "," "," "," "," "," ","GUTIERREZ","ELIZABETH"," ","Rural Health Midwife","","",""
"DOH000000000029496","29496","ALULOD BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK 3"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","ALULOD","042110002","4122"," "," "," "," "," "," ","COSINO","SONIA"," ","Rural Health Midwife","","",""
"DOH000000000029497","29497","BANCOD BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK 2"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","BANCOD","042110005","4122"," "," "," "," "," "," ","PERELLO","MELANIE"," ","Rural Health Midwife","","",""
"DOH000000000029498","29498","BUNA CERCA BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK 3"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","BUNA CERCA","042110006","4122"," "," "," "," "," "," ","GATDULA","TRINIDAD"," ","Rural Health Midwife","","",""
"DOH000000000029499","29499","BUNA LEJOS I BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK 6"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","BUNA LEJOS I","042110007","4122"," "," "," "," "," "," ","LEYBA","KRISTINA MAYRA"," ","Public Health Nurse","","",""
"DOH000000000029500","29500","BUNA LEJOS II BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK 2"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","BUNA LEJOS II","042110032","4122"," "," "," "," "," "," ","ROTARIO","LUCIA"," ","Rural Health Midwife","","",""
"DOH000000000029501","29501","CALUMPANG CERCA BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK 7"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","CALUMPANG CERCA","042110008","4122"," "," "," "," "," "," ","MENDOZA","JHONAR"," ","Rural Health Midwife","","",""
"DOH000000000029502","29502","CALUMPANG LEJOS I BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK 3"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","CALUMPANG LEJOS I","042110009","4122"," "," "," "," "," "," ","GUTIERREZ","ELIZABETH"," ","Rural Health Midwife","","",""
"DOH000000000029503","29503","CARASUCHI BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK 2"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","CARASUCHI","042110010","4122"," "," "," "," "," "," ","MARERO","LARA JILL"," ","Rural Health Midwife","","",""
"DOH000000000029504","29504","DAINE I BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","DAINE I","042110012","4122"," "," "," "," "," "," ","MATEL","RAQUEL"," ","Public Health Nurse","","",""
"DOH000000000029505","29505","DAINE II BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK 5"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","DAINE II","042110033","4122"," "," "," "," "," "," ","MATEL","RAQUEL"," ","Public Health Nurse","","",""
"DOH000000000029506","29506","GUYAM MALAKI BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK 5"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","GUYAM MALAKI","042110013","4122"," "," "," "," "," "," ","GUTIERREZ","ELIZABETH"," ","Rural Health Midwife","","",""
"DOH000000000029507","29507","HARASAN BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","HARASAN","042110015","4122"," "," "," "," "," "," ","GATDULA","TRINIDAD"," ","Rural Health Midwife","","",""
"DOH000000000029508","29508","KAYQUIT I BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK I"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","KAYQUIT I","042110011","4122"," "," "," "," "," "," ","RUPIDO","EUGENIA"," ","Rural Health Midwife","","",""
"DOH000000000029509","29509","KAYQUIT II BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK VII"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","KAYQUIT II","042110034","4122"," "," "," "," "," "," ","RUPIDO","EUGENIA"," ","Rural Health Midwife","","",""
"DOH000000000029510","29510","KAYQUIT III BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","MOLAVE STREET"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","KAYQUIT III","042110035","4122"," "," "," "," "," "," ","CRISTAL","MARK JOSEPH"," ","Rural Health Midwife","","",""
"DOH000000000029511","29511","KAYTAPOS BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK 5"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","KAYTAPOS","042110036","4122"," "," "," "," "," "," ","COSINO","SONIA"," ","Rural Health Midwife","","",""
"DOH000000000029512","29512","LIMBON BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK 2"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","LIMBON","042110018","4122"," "," "," "," "," "," ","COSINO","SONIA"," ","Rural Health Midwife","","",""
"DOH000000000029513","29513","LUMAMPONG BALAGBAG BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK I"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","LUMAMPONG BALAGBAG","042110019","4122"," "," "," "," "," "," ","MATEL","RAQUEL"," ","Public Health Nurse","","",""
"DOH000000000029514","29514","MAHABANG KAHOY CERCA BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","MAHABANGKAHOY CERCA","042110022","4122"," "," "," "," "," "," ","ROTARIO","LUCIA"," ","Rural Health Midwife","","",""
"DOH000000000029515","29515","MATAAS NA LUPA BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PUROK 3"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","INDANG","042110000","MATAAS NA LUPA (CHECKPOINT)","042110037","4122"," "," "," "," "," "," ","COSINO","SONIA"," ","Rural Health Midwife","","",""
