,Facility Name,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Region Name,Province,location,Hospital Licensing Status,Service Capability,Bed Capacity,lat,lon,City/Municipality Name,code,codenan
807,METRO PSYCH FACILITY,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,PASIG,Without License,0,,14.582378699999998,121.0839,,137403000,0
808,"FOUNDATION OF OUR LADY OF PEACE MISSION, INC.-OUR LADY OF PEACE HOSPITAL",Private,,NATIONAL CAPITAL REGION (NCR),Manila,PARAÑAQUE,With License,Level 1,90.0,14.4933666,120.9874412,,137604000,0
809,"UHBI-PARAÑAQUE DOCTORS HOSPITAL, INC.",Private,,NATIONAL CAPITAL REGION (NCR),Manila,PARAÑAQUE,With License,Level 2,94.0,14.485867,121.028415,,137604000,0
810,PASAY CITY GENERAL HOSPITAL,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,PASAY,With License,Level 3,150.0,14.549238500000001,121.0008331,,137605000,0
811,PASIG CITY GENERAL HOSPITAL,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,PASIG,With License,Level 3,200.0,14.572467900000001,121.09922009999998,,137403000,0
812,"PASOLO MATERNITY AND MEDICAL CLINIC, INC.",Private, ,NATIONAL CAPITAL REGION (NCR),Manila,VALENZUELA,Without License,0,,14.7092939,120.9519997,,137504000,0
813,PERPETUAL HELP HOSPITAL,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,SAMPALOC,Without License,0,,14.608271599999998,120.99239909999999,,133900000,0
814,PERPETUAL SUCCOR HOSPITAL AND MATERNITY INC.,Private,,NATIONAL CAPITAL REGION (NCR),Manila,SAMPALOC,With License,Level 1,65.0,14.608271599999998,120.99239909999999,,133900000,0
815,PHILIPPINE CHILDREN'S MEDICAL CENTER,Government,Department Of Health,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,200.0,14.647696300000002,121.04112479999999,,137404000,0
816,PHILIPPINE HEART CENTER,Government,Department Of Health,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,454.0,14.6440237,121.0481304,,137404000,0
817,PHILIPPINE ORTHOPEDIC CENTER,Government,Department Of Health,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,700.0,14.628036100000001,121.00338810000001,,137404000,0
818,CALOOCAN CITY MEDICAL CENTER,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,CALOOCAN,With License,Level 1,82.0,14.6483052,120.97345049999998,,137501000,0
819,RIZAL MEDICAL CENTER,Government,Department Of Health,NATIONAL CAPITAL REGION (NCR),Manila,PASIG,With License,Level 3,300.0,14.564242199999999,121.06594890000001,,137403000,0
820,"ST. CLARE'S MEDICAL CENTER, INC.",Private,,NATIONAL CAPITAL REGION (NCR),Manila,MAKATI,With License,Level 2,75.0,14.5629508,121.00129869999999,,137602000,0
821,ST. JUDE GENERAL HOSPITAL AND MEDICAL CENTER,Private,,NATIONAL CAPITAL REGION (NCR),Manila,SAMPALOC,With License,Level 3,50.0,14.615785999999998,120.98902199999999,,133900000,0
822,ST. VICTORIA HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,MARIKINA,With License,Level 1,55.0,14.642167,121.09460700000001,,137402000,0
823,ST. MARTIN DE PORRES CHARITY HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,SAN JUAN,With License,Level 1,121.0,14.5991149,121.0316903,,137405000,0
824,TAGUIG-PATEROS DISTRICT HOSPITAL,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,TAGUIG,With License,Level 1,110.0,14.510812099999999,121.03412730000001,,137607000,0
825,UNCIANO GENERAL HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,MANDALUYONG,With License,Level 1,25.0,14.573960999999999,121.044197,,137401000,0
826,UNITED DOCTORS MEDICAL CENTER,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,100.0,14.617054399999999,121.00193519999999,,137404000,0
827,"UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER, INC.",Private,,NATIONAL CAPITAL REGION (NCR),Manila,LAS PIÑAS,With License,Level 3,215.0,14.4480913,120.9858845,,137601000,0
828,VALENZUELA MEDICAL CENTER,Government,Department Of Health,NATIONAL CAPITAL REGION (NCR),Manila,VALENZUELA,With License,Level 3,150.0,14.6898788,120.978154,,137504000,0
829,"WORD OF HOPE GENERAL HOSPITAL FOUNDATION, INC.",Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 1,30.0,14.719285000000001,121.0390189,,137404000,0
830,SUNRISE HILL THERAPEUTIC COMMUNITY HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,Without License,0,,14.616957999999999,121.023175,,137404000,0
831,CARDINAL SANTOS MEDICAL CENTER,Private,,NATIONAL CAPITAL REGION (NCR),Manila,SAN JUAN,With License,Level 3,245.0,14.5977862,121.0455347,,137405000,0
832,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,Government,Department Of Health,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,315.0,14.6472814,121.04733440000001,,137404000,0
833,OLIVAREZ GENERAL HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,PARAÑAQUE,With License,Level 1,50.0,14.479066099999999,120.9972636,,137604000,0
834,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,Government,Department Of Health,NATIONAL CAPITAL REGION (NCR),Manila,MUNTINLUPA,With License,Level 3,50.0,14.4098693,121.03722250000001,,137603000,0
835,AIR FORCE GENERAL HOSPITAL,Government,Department of National Defense,NATIONAL CAPITAL REGION (NCR),Manila,PASAY,With License,Level 2,100.0,14.516936999999999,121.01996899999999,,137605000,0
836,"MEDICAL CENTER MUNTINLUPA, INC",Private,,NATIONAL CAPITAL REGION (NCR),Manila,MUNTINLUPA,With License,Level 2,95.0,14.3983677,121.0363768,,137603000,0
837,SAN JUAN MEDICAL CENTER,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,SAN JUAN,With License,Level 1,150.0,14.606575400000002,121.0236011,,137405000,0
838,FEU- DR. NICANOR REYES MEDICAL FOUNDATION,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,300.0,14.6986356,121.06711840000001,,137404000,0
839,MOTHER TERESAS HOME THAT CARES INC,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,MANDALUYONG,Without License,0,,14.5835894,121.0282186,,137401000,0
840,SALVE REGINA GENERAL HOSPITAL INC.,Private,,NATIONAL CAPITAL REGION (NCR),Manila,PASIG,With License,Level 1,50.0,14.6199475,121.09633240000001,,137403000,0
841,"FAMILY HEALTHCARE HOSPITAL-THE REINE-MERE MEDICAL FACILITIES, INC.",Private,,NATIONAL CAPITAL REGION (NCR),Manila,PASIG,With License,Level 1,20.0,14.576426099999999,121.08515619999999,,137403000,0
842,"TRINITY WOMAN AND CHILD CENTER ""THE BIRTHPLACE""",Private,,NATIONAL CAPITAL REGION (NCR),Manila,SANTA ANA,With License,Level 1,25.0,14.584378,121.01746200000001,,133900000,0
843,"VILLAROSA HOSPITAL, INC.",Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 1,24.0,14.6219457,121.06619920000001,,137404000,0
844,VETERANS MEMORIAL MEDICAL CENTER,Government,Department of National Defense,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,766.0,14.6561184,121.04005559999999,,137404000,0
845,OSPITAL NG PARAÑAQUE,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,PARAÑAQUE,With License,Level 1,50.0,14.5004142,120.99112140000001,,137604000,0
846,UNIVERSITY OF SANTO TOMAS HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,SAMPALOC,With License,Level 3,700.0,14.611426500000002,120.9902019,,133900000,0
847,THE CLINIC OF THE HOLY SPIRIT INC,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,Without License,0,,14.6235547,121.04251880000001,,137404000,0
848,M-TECH MEDICAL HOSPITAL,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,MAKATI,Without License,0,,14.561404000000001,121.014227,,137602000,0
849,ALFONSO SPECIALIST HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,PASIG,With License,Level 1,22.0,14.5901272,121.084647,,137403000,0
850,PNP GENERAL HOSPITAL,Government,Philippine National Police,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 2,176.0,14.6156163,121.05192520000001,,137404000,0
851,VALDEZ PADRON HOSPITAL,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,Without License,0,,14.708292499999999,121.03964669999999,,137404000,0
852,DE LOS SANTOS MEDICAL CENTER,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,150.0,14.6200907,121.0177773,,137404000,0
853,CRUZ-RABE MATERNITY AND GENERAL HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,TAGUIG,With License,Level 1,50.0,14.5292634,121.0706663,,137607000,0
854,METROPOLITAN MEDICAL CENTER,Private,,NATIONAL CAPITAL REGION (NCR),Manila,TONDO I/II,With License,Level 3,300.0,14.609639699999999,120.97849340000002,,133900000,0
855,PASCUAL GENERAL HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 1,30.0,14.666991000000001,121.0090838,,137404000,0
856,"Q.C. ST. AGNES GENERAL HOSPITAL, INC.",Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 1,50.0,14.647460999999998,121.01741499999999,,137404000,0
857,MIRACULOUS MEDAL EMERGENCY MEDICAL CLINIC,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,MALATE,Without License,0,,14.570198999999999,120.9915848,,133900000,0
858,OSPITAL NG MAYNILA MEDICAL CENTER,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,MALATE,With License,Level 3,300.0,14.564079800000002,120.98638840000001,,133900000,0
859,OSPITAL NG MUNTINLUPA,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,MUNTINLUPA,With License,Level 2,149.0,14.4142709,121.04417340000002,,137603000,0
860,OSPITAL NG SAMPALOC,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,SAMPALOC,With License,Level 1,50.0,14.607878,120.99672029999999,,133900000,0
861,ST. LUKE'S MEDICAL CENTER,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,633.0,14.6225416,121.0232346,,137404000,0
862,MISSION HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,PASIG,With License,Level 1,30.0,14.5898229,121.0975159,,137403000,0
863,CALALANG GENERAL HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,VALENZUELA,With License,Level 1,50.0,14.6727141,120.9824212,,137504000,0
864,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,Government,Department Of Health,NATIONAL CAPITAL REGION (NCR),Manila,MARIKINA,With License,Level 3,150.0,14.6358837,121.09823440000001,,137402000,0
865,AMISOLA MATERNITY AND CHILDRENS HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,TONDO I/II,With License,Level 1,25.0,14.632708,120.97848300000001,,133900000,0
866,SABATER HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,PASIG,With License,Level 1,20.0,14.5600486,121.08290790000001,,137403000,0
867,MANILA DOCTORS HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,ERMITA,With License,Level 3,300.0,14.5820218,120.9826523,,133900000,0
868,BEATO-CAUILAN HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,MUNTINLUPA,With License,Level 1,10.0,14.370942999999999,121.049406,,137603000,0
869,QUEZON CITY GENERAL HOSPITAL,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,250.0,14.6611598,121.0182091,,137404000,0
870,DIVINE HEART MEDICAL SERVICE AND DEVELOPMENT COOPERATIVE HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 1,32.0,14.721993900000001,121.03585109999999,,137404000,0
871,QUEENSBERRY HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 1,19.0,14.723859,121.0397136,,137404000,0
872,ALABANG MEDICAL CLINIC - LAS PIÑAS BRANCH,Private,,NATIONAL CAPITAL REGION (NCR),Manila,LAS PIÑAS,With License,Level 1,25.0,14.4428476,120.99696100000001,,137601000,0
873,SOUTH SUPERHIGHWAY MEDICAL CENTER,Private,,NATIONAL CAPITAL REGION (NCR),Manila,PARAÑAQUE,With License,Level 2,50.0,14.4747843,121.04484690000001,,137604000,0
874,"SAN LORENZO HOSPITAL HEALTH MANAGEMENT CO., INC.",Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 1,22.0,14.73509,121.033594,,137404000,0
875,ARMY GENERAL HOSPITAL,Government,Department of National Defense,NATIONAL CAPITAL REGION (NCR),Manila,TAGUIG,With License,Level 1,200.0,14.530975199999999,121.047928,,137607000,0
876,QUEZON INSTITUTE,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 1,85.0,14.6163599,121.0126208,,137404000,0
877,"CAPITOL MEDICAL CENTER, INC.",Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,300.0,14.6342467,121.0228414,,137404000,0
878,DR. E. ZARATE GENERAL HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,LAS PIÑAS,With License,Level 1,16.0,14.418923699999999,120.99777959999999,,137601000,0
879,VICTORIANO LUNA MEDICAL CENTER,Government,Department of National Defense,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,1200.0,14.635624900000002,121.05268980000001,,137404000,0
880,NEW BILIBID PRISON HOSPITAL,Government,Philippine National Police,NATIONAL CAPITAL REGION (NCR),Manila,MUNTINLUPA,With License,Level 1,500.0,14.381331,121.028048,,137603000,0
881,ALABANG MEDICAL CLINIC,Private,,NATIONAL CAPITAL REGION (NCR),Manila,MUNTINLUPA,With License,Level 1,30.0,14.4192193,121.05004720000001,,137603000,0
882,ACEBEDO GENERAL HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,CALOOCAN,With License,Level 1,16.0,14.7187229,121.00508070000001,,137501000,0
883,GAT ANDRES BONIFACIO MEMORIAL MEDICAL CENTER,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,TONDO I/II,With License,Level 1,150.0,14.600918799999999,120.96484850000002,,133900000,0
884,SAN LAZARO HOSPITAL,Government,Department Of Health,NATIONAL CAPITAL REGION (NCR),Manila,SANTA CRUZ,With License,Level 3,500.0,14.613705,120.98093490000002,,133900000,0
885,STA. RITA DE BACLARAN HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,PARAÑAQUE,With License,Level 1,25.0,14.5300749,120.9959362,,137604000,0
886,EXCELLENT COMMUNITY CARE CENTER,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,Without License,0,,14.645656599999999,121.01329369999999,,137404000,0
887,A. ZARATE GENERAL HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,LAS PIÑAS,With License,Level 1,17.0,14.4685359,120.980585,,137601000,0
888,UP-PHILIPPINE GENERAL HOSPITAL,Government,University Hospital,NATIONAL CAPITAL REGION (NCR),Manila,ERMITA,With License,Level 3,1334.0,14.577449800000002,120.98577209999999,,133900000,0
889,NORTH CALOOCAN DOCTORS HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,CALOOCAN,With License,Level 1,29.0,14.766024,121.08470390000001,,137501000,0
890,MARTINEZ MEMORIAL HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,CALOOCAN,With License,Level 1,70.0,14.6384367,120.9757357,,137501000,0
891,SAN JUAN DE DIOS EDUCATIONAL FOUNDATION INC.,Private,,NATIONAL CAPITAL REGION (NCR),Manila,PASAY,With License,Level 3,230.0,14.537906,120.99298700000001,,137605000,0
892,THE MEDICAL CITY,Private,,NATIONAL CAPITAL REGION (NCR),Manila,PASIG,With License,Level 3,522.0,14.589549900000002,121.06927820000001,,137403000,0
893,WORLD CITI MEDICAL CENTER,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,276.0,14.627244199999998,121.06333980000001,,137404000,0
894,STA. TERESITA GENERAL HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 2,65.0,14.624757500000001,121.0024413,,137404000,0
895,"MARIKINA ST. VINCENT GENERAL HOSPITAL, INC.",Private,,NATIONAL CAPITAL REGION (NCR),Manila,MARIKINA,With License,Level 2,90.0,14.650892,121.107633,,137402000,0
896,"THE FAMILY CLINIC, INC.",Private, ,NATIONAL CAPITAL REGION (NCR),Manila,SAMPALOC,With License,0,,14.5929932,120.9722863,,133900000,0
897,MANILA NAVAL HOSPITAL,Government,Department of National Defense,NATIONAL CAPITAL REGION (NCR),Manila,TAGUIG,With License,Level 1,85.0,14.5301095,121.0315087,,137607000,0
898,SDS MEDICAL CENTER,Private,,NATIONAL CAPITAL REGION (NCR),Manila,MARIKINA,With License,Level 1,22.0,14.639342000000001,121.110041,,137402000,0
899,OUR LADY OF GRACE HOSPITAL INC.,Private,,NATIONAL CAPITAL REGION (NCR),Manila,CALOOCAN,With License,Level 1,28.0,14.648929999999998,120.981379,,137501000,0
900,BERNARDINO GENERAL HOSPITAL I,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 2,80.0,14.700442800000001,121.03497250000001,,137404000,0
901,U.E.R.M. MEMORIAL HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,307.0,14.6069139,121.0203692,,137404000,0
902,SEAMEN'S HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,INTRAMUROS,With License,Level 3,100.0,14.587556,120.97774799999999,,133900000,0
903,MANDALUYONG CITY MEDICAL CENTER,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,MANDALUYONG,With License,Level 2,150.0,14.5762966,121.0352591,,137401000,0
904,LAS PIÑAS CITY MEDICAL CENTER,Private,,NATIONAL CAPITAL REGION (NCR),Manila,LAS PIÑAS,With License,Level 2,66.0,14.429794099999999,121.0034361,,137601000,0
905,MCU-FDT MEDICAL FOUNDATION HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,CALOOCAN,With License,Level 3,215.0,14.6576209,120.9871392,,137501000,0
906,OSPITAL NG MAKATI,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,MAKATI,With License,Level 3,300.0,14.546502800000003,121.0617574,,137602000,0
907,"FATIMA UNIVERSITY MEDICAL CENTER, CORP.",Private,,NATIONAL CAPITAL REGION (NCR),Manila,VALENZUELA,With License,Level 3,150.0,14.678054800000002,120.9802868,,137504000,0
908,LUNG CENTER OF THE PHILIPPINES,Government,Department Of Health,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,210.0,14.6476142,121.04584080000001,,137404000,0
909,MARIA LOURDES MATERNITY HOSPITAL INC.,Private,,NATIONAL CAPITAL REGION (NCR),Manila,MAKATI,With License,Level 1,20.0,14.570425,121.01478600000002,,137602000,0
910,"ADVENTIST MEDICAL CENTER, INC.",Private,,NATIONAL CAPITAL REGION (NCR),Manila,PASAY,With License,Level 3,150.0,14.5557606,120.9954585,,137605000,0
911,MARY JOHNSTON HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,TONDO I/II,With License,Level 3,120.0,14.608998999999999,120.966283,,133900000,0
912,NATIONAL CHILDREN’S HOSPITAL,Government,Department Of Health,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,250.0,14.620440499999999,121.0208118,,137404000,0
913,UP HEALTH SERVICES,Government,University Hospital,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 1,50.0,14.659839999999999,121.071133,,137404000,0
914,NODADO GENERAL HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,CALOOCAN,With License,Level 1,40.0,14.763404999999999,121.0441189,,137501000,0
915,NEWMAN HOMECARE AND REHAB CENTER INC,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,Without License,0,,14.702895000000002,121.06573999999999,,137404000,0
916,TONDO MEDICAL CENTER,Government,Department Of Health,NATIONAL CAPITAL REGION (NCR),Manila,TONDO I/II,With License,Level 3,200.0,14.6348574,120.9630594,,133900000,0
917,F.Y. MANALO MEDICAL FOUNDATION INC.- NEW ERA GENERAL HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 1,100.0,14.664122599999999,121.0667406,,137404000,0
918,OSPITAL NG TONDO,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,TONDO I/II,With License,Level 1,50.0,14.625964000000002,120.978381,,133900000,0
919,SUNSHINE.COM.INC,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,Without License,0,,14.615234,121.03354099999999,,137404000,0
920,SAN LORENZO RUIZ WOMEN'S HOSPITAL,Government,Department Of Health,NATIONAL CAPITAL REGION (NCR),Manila,MALABON,With License,Level 1,10.0,14.6711066,120.95146310000001,,137502000,0
921,"J.P. SIOSON GENERAL HOSPITAL AND COLLEGES, INC",Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 1,40.0,14.6597663,121.02518159999998,,137404000,0
922,NATIONAL CENTER FOR MENTAL HEALTH,Government,Department Of Health,NATIONAL CAPITAL REGION (NCR),Manila,MANDALUYONG,With License,Level 3,4200.0,14.581012699999999,121.04291640000001,,137401000,0
923,ALABANG MEDICAL CLINIC - MUNTINLUPA BRANCH,Private,,NATIONAL CAPITAL REGION (NCR),Manila,MUNTINLUPA,With License,Level 1,25.0,14.391071100000001,121.0442814,,137603000,0
924,DIVINE MERCY THE HOME THAT CARES INC,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,MANDALUYONG,Without License,0,,14.5835894,121.0282186,,137401000,0
925,GARCIA GENERAL HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,MARIKINA,With License,Level 1,24.0,14.648877599999999,121.11340359999998,,137402000,0
926,NOVALICHES DISTRICT HOSPITAL,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 1,30.0,14.700472,121.03443100000001,,137404000,0
927,NOVALICHES GENERAL HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 2,100.0,14.7095039,121.0390092,,137404000,0
928,QUIRINO MEMORIAL MEDICAL CENTER,Government,Department Of Health,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 3,460.0,14.622255800000001,121.07284820000001,,137404000,0
929,STA. MONICA GENERAL HOSPITAL,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,MARIKINA,Without License,0,,14.633924800000003,121.0861426,,137402000,0
930,FULL HOUSE CUSTODIAL CARE CENTER,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,Without License,0,,14.6342702,121.059739,,137404000,0
931,"DHC HOMECARE CLINIC, INC.",Private, ,NATIONAL CAPITAL REGION (NCR),Manila,MANDALUYONG,Without License,0,,14.5794443,121.03591740000002,,137401000,0
932,"DIVINE MERCY THE HOME THAT CARES, INC-BONI",Private, ,NATIONAL CAPITAL REGION (NCR),Manila,MANDALUYONG,Without License,0,,14.5835894,121.0282186,,137401000,0
933,THE MASTER'S TOUCH PSYCHIATRIC CUSTODIAL CARE FACILITY,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,MANDALUYONG,Without License,0,,14.639413000000001,121.0982398,,137401000,0
934,HOLYLIFE HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,PASIG,With License,Level 1,7.0,14.592028200000001,121.0954436,,137403000,0
935,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,Private,,NATIONAL CAPITAL REGION (NCR),Manila,TAGUIG,With License,Level 2,528.0,14.554935999999998,121.04821909999998,,137607000,0
936,"ESTRELLAS NEX CARE, CO.",Private, ,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,Without License,0,,14.635353699999998,121.06154280000001,,137404000,0
937,CARLOS CLINIC,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,VALENZUELA,Without License,0,,14.680888199999998,120.98566940000002,,137504000,0
938,FRANCO CLINIC,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,MALABON,Without License,0,,14.659776,120.959065,,137502000,0
939,MERALCO CORPORATE WELLNESS CENTER,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,PASIG,Without License,0,,14.5899199,121.06479350000001,,137403000,0
940,OUR LADY OF LOURDES HOSPITAL INC.,Private,,NATIONAL CAPITAL REGION (NCR),Manila,MANILA,With License,Level 3,230.0,14.594954699999999,121.0225571,,133900000,0
941,PASIG MEDICAL & MATERNITY HOSPITAL FOUNDATION INC.,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,PASIG,Without License,0,,14.6006858,121.09209409999998,,137403000,0
942,PRESIDENTIAL SECURITY GROUP STATION HOSPITAL,Government,Office of the President,NATIONAL CAPITAL REGION (NCR),Manila,MANILA,Without License,0,,14.593686800000002,121.0006733,,133900000,0
943,"ST. ANTHONY MEDICAL CENTER OF MARIKINA, INC.",Private,,NATIONAL CAPITAL REGION (NCR),Manila,MARIKINA,With License,Level 2,34.0,14.6244715,121.1028413,,137402000,0
944,ST. JOHN'S HOSPITAL,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,VALENZUELA,Without License,0,,14.693357999999998,120.96588200000001,,137504000,0
945,STO. NIÑO DE CEBU MATERNITY HOSPITAL,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,PARAÑAQUE,Without License,0,,14.466845800000002,121.0154396,,137604000,0
946,JUSTICE JOSE ABAD SANTOS GENERAL HOSPITAL,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,BINONDO,With License,Level 1,150.0,14.5975621,120.97193349999999,,133900000,0
947,STA. ANA HOSPITAL,Government,Local Government Unit,NATIONAL CAPITAL REGION (NCR),Manila,SANTA ANA,With License,Level 2,300.0,14.5836328,121.0164213,,133900000,0
948,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,Level 2,148.0,14.731324800000003,121.0606761,,137404000,0
949,ST. CHRISTIANA MATERNITY HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,PASIG,With License,Level 1,10.0,14.6039035,121.10285900000001,,137403000,0
950,E. ZARATE HOSPITAL,Private,,NATIONAL CAPITAL REGION (NCR),Manila,LAS PIÑAS,With License,Level 1,10.0,14.4467042,120.99416699999999,,137601000,0
951,ST. CAMILLUS MEDICAL CENTER,Private,,NATIONAL CAPITAL REGION (NCR),Manila,PASIG,With License,Level 2,40.0,14.612125400000002,121.091848,,137403000,0
952,UROLOGY CENTER OF THE PHILIPPINES,Private,,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,With License,0,16.0,14.6421261,121.0534868,,137404000,0
953,VIAN FAMILY HOSPITAL,Private, ,NATIONAL CAPITAL REGION (NCR),Manila,QUEZON,Without License,0,,14.6828566,121.0209514,,137404000,0
